feature	seed	run	result	reason	stage	summary
real_iron_bulk	3000	1	PASS	PASS	pass	1/1 PASS: {real_iron_bulk=PASS}
real_iron_bulk	3000	2	PASS	PASS	pass	1/1 PASS: {real_iron_bulk=PASS}
real_iron_bulk	155361719	1	FAIL	aborted	aborted	0/1 PASS: {real_iron_bulk=FAIL:aborted}
real_iron_bulk	155361719	2	FAIL	assertion_failed status=combat Attacking minecraft:zombie 0/2 phase=APPROACH	other	0/1 PASS: {real_iron_bulk=FAIL:assertion_failed status=combat Attacking minecraft:zombie 0/2 phase=APPROACH}
real_iron_bulk	632510390	1	FAIL	assertion_failed status=light_area Lighting radius=8 placed=8/8 phase=PLACE	other	0/1 PASS: {real_iron_bulk=FAIL:assertion_failed status=light_area Lighting radius=8 placed=8/8 phase=PLACE}
real_iron_bulk	632510390	2	FAIL	assertion_failed status=light_area Lighting radius=8 placed=5/8 phase=WALK	other	0/1 PASS: {real_iron_bulk=FAIL:assertion_failed status=light_area Lighting radius=8 placed=5/8 phase=WALK}
real_iron_bulk	111	1	PASS	PASS	pass	1/1 PASS: {real_iron_bulk=PASS}
real_iron_bulk	111	2	FAIL	assertion_failed status=shelter Emergency shelter placed=6 remaining=0	other	0/1 PASS: {real_iron_bulk=FAIL:assertion_failed status=shelter Emergency shelter placed=6 remaining=0}
real_iron_bulk	700	1	FAIL	ore_dig_drowning_abort	other	0/1 PASS: {real_iron_bulk=FAIL:ore_dig_drowning_abort}
real_iron_bulk	700	2	FAIL	ore_dig_drowning_abort	other	0/1 PASS: {real_iron_bulk=FAIL:ore_dig_drowning_abort}
real_iron_bulk	4040404	1	ERR	NO_SUMMARY	server_err	NO_SUMMARY
real_iron_bulk	4040404	2	ERR	NO_SUMMARY	server_err	NO_SUMMARY
ALLDONE
